pedido_id,cliente_id,produto_id,data_compra,quantidade,preco,status
194,112.0,16,2026-02-04,2,3251.63,enviado
195,394.0,19,2025-10-13,2,3624.78,enviado
196,131.0,20,2025-11-20,3,1943.69,entregue
197,49.0,17,2024-09-06,1,3560.37,cancelado
198,22.0,1,2025-06-11,1,3120.07,processando
199,20.0,23,2024-03-08,9,313.13,processando
200,141.0,5,2025-12-25,9,3693.44,entregue
201,193.0,20,2024-06-03,2,2822.66,entregue
202,112.0,28,2024-09-05,10,3965.37,processando
203,112.0,21,2025-10-11,6,3178.71,processando
204,319.0,14,2025-12-22,5,816.22,cancelado
205,299.0,8,2025-04-12,3,2340.17,processando
206,199.0,9,2024-01-11,8,2862.4,cancelado
207,238.0,26,2025-11-02,1,1544.16,entregue
208,305.0,8,2025-08-31,4,2600.34,entregue
209,158.0,17,2024-12-24,2,1397.62,processando
210,139.0,18,2024-02-15,6,3276.68,cancelado
211,218.0,20,2025-01-23,5,2044.97,processando
212,221.0,32,2025-03-28,10,1198.61,entregue
213,230.0,15,2025-09-12,8,3560.86,cancelado
214,215.0,19,2026-03-11,7,2077.74,enviado
215,12.0,7,2025-10-26,9,3565.95,processando
216,334.0,8,2024-10-16,4,2240.83,enviado
217,332.0,5,2026-02-08,3,869.5,cancelado
218,157.0,30,2026-03-07,5,1649.32,processando
219,30.0,14,2024-04-25,8,3235.22,processando
220,337.0,13,2025-07-10,2,3730.14,enviado
221,264.0,25,2024-02-27,10,3419.78,entregue
222,41.0,20,2024-09-20,2,2252.18,entregue
223,74.0,13,2024-01-31,2,3831.1,entregue
224,349.0,1,2025-10-25,7,2179.77,processando
225,217.0,29,2026-02-08,7,3994.27,entregue
226,393.0,11,2025-04-21,5,591.37,enviado
227,127.0,18,2024-01-26,10,2895.22,enviado
228,103.0,3,2024-12-23,3,2740.59,enviado
229,142.0,21,2024-07-20,4,2009.98,entregue
230,260.0,21,2024-05-24,7,841.13,cancelado
231,302.0,22,2024-11-24,3,3731.43,cancelado
232,228.0,14,2025-07-17,5,477.75,entregue
233,44.0,23,2024-08-11,9,2292.13,enviado
234,14.0,24,2024-07-24,8,1336.21,entregue
235,134.0,4,2025-12-26,6,3232.62,cancelado
236,247.0,29,2025-01-15,3,2095.07,entregue
237,312.0,26,2025-03-10,1,1709.56,cancelado
238,160.0,7,2025-08-23,10,272.14,entregue
239,217.0,19,2025-06-03,9,2888.25,entregue
240,357.0,17,2025-01-25,6,2813.02, ENVIADO 
241,396.0,30,2024-01-25,6,2684.6,entregue
242,107.0,19,2025-12-15,3,1059.14,entregue
243,397.0,20,2025-07-03,7,1339.44,entregue
244,110.0,20,2026-02-18,6,3837.2,entregue
245,79.0,16,2025-01-30,4,3591.06,entregue
246,373.0,7,2025-11-15,9,452.52,cancelado
247,35.0,30,2024-11-30,9,2218.48,cancelado
248,336.0,12,2026-03-04,6,1451.14,enviado
249,372.0,10,2025-09-04,6,1532.04,entregue
250,383.0,31,2025-09-04,3,1513.69,enviado
251,28.0,26,2026-03-09,6,3274.06,entregue
252,202.0,1,2024-07-30,9,3142.75,enviado
253,133.0,20,2024-02-24,8,3006.33,enviado
254,315.0,3,2024-09-28,8,832.79,processando
255,352.0,24,2025-03-17,6,136.14,entregue
256,30.0,15,2026-04-03,6,1181.54,entregue
257,129.0,25,2025-08-14,8,2761.31,entregue
258,117.0,9,2026-01-19,6,2738.46,entregue
259,191.0,1,2025-12-05,8,3921.35,entregue
260,239.0,32,2024-05-09,2,3456.09,enviado
261,395.0,20,2025-09-27,10,2287.39,cancelado
262,278.0,9,2024-11-14,1,3482.35,entregue
263,147.0,2,2025-07-21,9,1664.79,entregue
264,128.0,7,2024-05-20,10,1599.98,entregue
265,134.0,22,2025-04-12,8,1859.39,processando
266,393.0,15,2025-01-03,8,3554.49,processando
267,387.0,19,2025-09-06,9,1913.12,entregue
268,63.0,22,2025-03-25,7,1676.81,enviado
269,301.0,22,2024-03-12,7,2282.46,cancelado
270,152.0,12,2024-12-16,10,3795.05,processando
271,105.0,32,2025-01-08,2,3928.27,cancelado
272,322.0,32,2026-01-08,2,1506.48,entregue
273,334.0,30,2025-01-20,4,3473.11,entregue
274,213.0,24,2024-06-11,7,500.36,enviado
275,48.0,23,2024-02-22,7,3000.12,cancelado
276,309.0,11,2026-04-20,7,2000.54,entregue
277,256.0,15,2025-05-28,6,1713.91,entregue
278,362.0,28,2026-02-27,10,1366.66,entregue
279,353.0,10,2024-07-29,9,2959.99,processando
280,29.0,1,2025-02-27,1,787.67,processando
281,106.0,14,2025-02-07,1,2209.82,entregue
282,36.0,4,2025-09-26,6,752.25,processando
283,82.0,32,2025-05-29,4,1927.77,cancelado
284,6.0,31,2024-07-11,9,1807.82,entregue
285,23.0,5,2024-10-13,10,3126.4,processando
286,241.0,17,2024-09-09,9,-338.11,processando
287,140.0,22,2025-12-15,10,3675.55,processando
288,307.0,15,2025-09-16,9,1279.87,entregue
289,390.0,5,2024-08-03,9,3700.32,entregue
290,4.0,13,2025-01-08,8,3612.67,cancelado
291,177.0,1,2024-06-05,9,900.68,entregue
292,258.0,14,2025-09-13,1,2864.91,enviado
293,237.0,17,2025-05-05,9,2703.83,enviado
294,61.0,27,2026-02-07,8,3048.24,entregue
295,218.0,17,2025-12-31,6,1989.24,enviado
296,140.0,19,2024-07-18,5,1283.58,entregue
297,86.0,5,2026-03-25,2,3932.21,processando
298,289.0,22,2024-09-30,9,1253.9,entregue
299,246.0,1,2026-04-04,4,2985.72,enviado
300,314.0,31,2024-10-04,10,874.79,entregue
301,187.0,29,2024-11-24,9,-2135.65, ENTREGUE 
302,,28,2025-03-31,4,860.14,processando
303,321.0,29,2024-06-17,6,972.1,entregue
304,352.0,31,2024-02-21,3,97.14,cancelado
305,311.0,5,2025-08-17,4,1649.62,cancelado
306,321.0,27,2025-08-21,7,1046.13,enviado
307,386.0,25,2024-02-01,-2,2947.44,entregue
308,8.0,19,2024-07-15,9,2970.93,cancelado
309,338.0,13,2025-12-05,4,3831.13,entregue
310,45.0,19,2025-10-29,5,1937.41,cancelado
311,114.0,6,2024-10-09,1,1917.55,enviado
312,18.0,2,2024-05-18,5,1042.86,processando
313,93.0,29,2025-12-31,9,1072.72,entregue
314,250.0,22,2025-05-26,6,25.9,entregue
315,349.0,9,2024-04-05,1,3728.68,entregue
316,381.0,31,2025-03-02,7,159.01,enviado
317,281.0,27,2025-08-13,7,1829.9,entregue
318,173.0,10,2025-02-16,5,2365.62,entregue
319,108.0,31,2025-03-12,1,1494.66,cancelado
320,46.0,8,2025-03-31,10,3611.75,enviado
321,282.0,20,2025-07-09,9,2639.36,entregue
322,299.0,25,2024-04-12,7,271.15,entregue
323,187.0,18,2024-06-04,1,2546.16,cancelado
324,320.0,4,2024-06-10,4,3103.56,entregue
325,34.0,8,2024-09-04,6,3021.37, ENTREGUE 
326,111.0,14,2026-02-22,10,1843.98,entregue
327,370.0,27,2024-12-23,3,536.23,cancelado
328,341.0,11,2025-03-19,4,3193.3,entregue
329,58.0,16,2024-07-24,7,2970.43,processando
330,156.0,9,2025-04-15,-2,1665.78,entregue
331,54.0,30,2025-04-08,5,1949.67,entregue
332,387.0,7,2024-12-16,2,1168.6,entregue
333,358.0,17,2024-07-31,2,590.21,processando
334,382.0,28,2025-09-06,7,1339.8,entregue
335,26.0,20,2024-07-25,8,-1125.75,processando
336,328.0,15,2025-02-28,5,3278.16,processando
337,62.0,15,2025-02-27,8,2376.52,entregue
338,26.0,7,2024-04-15,5,229.53,entregue
339,398.0,7,2024-10-10,6,2404.98,enviado
340,100.0,28,2025-06-17,1,1756.59,entregue
341,21.0,26,2026-04-20,9,3716.14,enviado
342,365.0,5,2026-04-09,7,1085.7,entregue
343,351.0,25,2025-04-26,3,387.59,processando
344,279.0,14,2026-03-12,1,227.99,entregue
345,112.0,24,2025-11-04,8,2051.57,entregue
346,222.0,24,2024-08-15,2,1139.65,entregue
347,295.0,10,2025-12-17,6,3367.81,entregue
348,348.0,15,2024-09-12,10,2055.0,processando
349,74.0,4,2024-08-08,1,2185.55,entregue
350,352.0,15,2025-03-09,7,3496.57,entregue
351,139.0,25,2025-09-23,1,22.47,entregue
352,277.0,7,2024-05-09,2,537.11,entregue
353,272.0,17,2026-01-18,10,1386.42,cancelado
354,27.0,31,2025-03-12,1,640.14,cancelado
355,19.0,15,2024-02-16,9,2752.42,entregue
356,381.0,4,2026-02-12,6,1285.09,cancelado
357,3.0,8,2025-05-09,4,2145.19,processando
358,397.0,24,2025-06-09,4,3988.09,entregue
359,300.0,26,2024-09-23,4,271.96,processando
360,49.0,27,2024-01-21,7,3402.45,processando
361,44.0,16,2024-07-02,4,940.78,entregue
362,109.0,15,2024-01-24,9,2591.27,processando
363,250.0,13,2025-05-28,9,3085.02,entregue
364,69.0,8,2024-01-07,3,2016.32,processando
365,56.0,15,2024-06-09,10,3917.76,cancelado
366,367.0,19,2025-09-28,5,3198.01,processando
367,158.0,20,2025-07-12,1,2123.48,enviado
368,311.0,5,2024-08-30,3,1814.17,cancelado
369,83.0,9,2025-08-29,4,2954.99,enviado
370,92.0,5,2025-04-12,-4,2049.27,entregue
371,128.0,23,2025-02-25,5,1311.61,entregue
372,386.0,7,2024-03-28,3,3704.93,entregue
373,49.0,29,2026-01-02,9,2724.54,enviado
374,398.0,5,2026-01-18,1,3816.19,entregue
375,292.0,21,2024-05-20,9,1836.57,entregue
376,164.0,21,2025-04-12,5,895.76,entregue
377,268.0,18,2024-01-29,5,3131.44,enviado
378,112.0,1,2024-11-03,-10,1737.05,enviado
379,252.0,25,2024-04-16,-3,1598.84,enviado
380,345.0,8,2024-12-02,5,1661.78,entregue
381,392.0,4,2026-01-15,9,42.17, ENTREGUE 
382,96.0,11,2025-11-03,10,3277.85,processando
383,221.0,29,2024-01-25,8,3496.6,entregue
384,249.0,21,2025-04-16,3,1268.96,processando
385,103.0,8,2024-09-26,2,3648.63,entregue
386,189.0,19,2025-01-08,2,3263.2,enviado
387,212.0,20,2025-03-16,7,2910.76,processando
388,137.0,17,2025-03-09,1,3556.37,processando
389,309.0,3,2026-01-08,10,1276.81,enviado
390,95.0,17,2024-10-28,-4,826.68,cancelado
391,78.0,5,2024-10-27,7,1275.76,cancelado
392,338.0,6,2024-09-12,6,576.92,cancelado
393,268.0,26,2025-07-20,5,2791.73,processando
394,309.0,18,2024-06-13,-3,2230.42,cancelado
395,326.0,17,2024-11-15,8,719.55,cancelado
396,11.0,21,2024-05-29,2,3854.32,entregue
397,10.0,3,2025-03-07,9,3571.79,enviado
398,73.0,6,2024-06-25,5,609.46,entregue
399,37.0,2,2025-09-08,10,3889.78,entregue
400,245.0,3,2025-12-23,3,1342.44,cancelado
401,118.0,23,2024-11-17,1,612.78,cancelado
402,108.0,32,2025-02-14,5,491.8,entregue
403,42.0,11,2025-03-08,10,3255.97,entregue
404,232.0,7,2024-04-19,1,343.94,entregue
405,286.0,22,2026-03-14,8,2025.29,entregue
406,274.0,23,2025-01-26,2,2366.48,entregue
407,267.0,3,2025-12-21,5,83.57,entregue
408,100.0,15,2026-02-27,7,3395.89,entregue
409,360.0,6,2025-07-22,4,3172.19,processando
410,196.0,9,2026-03-20,7,3170.27,processando
411,226.0,12,2025-03-06,2,277.57,entregue
412,227.0,22,2026-04-11,-5,3260.56,entregue
413,,13,2025-11-06,9,3438.32,entregue
414,192.0,15,2024-10-30,7,3728.57,entregue
415,193.0,4,2025-11-23,1,3200.7,entregue
416,251.0,19,2025-01-19,2,269.5,cancelado
417,30.0,13,2024-08-01,4,772.88,entregue
418,21.0,13,2024-10-04,7,2871.28,processando
419,353.0,19,2025-04-14,5,2854.51,processando
420,341.0,12,2025-01-09,8,1214.16,entregue
421,8.0,6,2024-12-06,9,1665.6,enviado
422,248.0,22,2026-01-27,8,3643.72,enviado
423,249.0,29,2026-03-30,7,3656.29,entregue
424,63.0,18,2024-09-28,2,51.11,entregue
425,397.0,28,2026-03-31,3,360.56,entregue
426,181.0,15,2025-06-11,2,1401.3,entregue
427,291.0,23,2026-02-18,6,2194.09,entregue
428,283.0,11,2025-12-11,1,500.2,enviado
429,272.0,23,2025-10-08,7,1048.05,entregue
430,116.0,2,2026-01-09,8,3431.51,entregue
431,18.0,29,2025-07-04,5,2243.16,entregue
432,328.0,28,2024-10-25,5,2262.86,entregue
433,351.0,23,2025-10-15,5,222.69,entregue
434,246.0,11,2025-06-26,10,889.11,entregue
435,349.0,30,2024-12-26,2,2414.5,processando
436,149.0,29,2024-12-06,7,2200.37,entregue
437,28.0,20,2025-12-14,3,508.28,processando
438,155.0,8,2025-01-12,1,607.21,entregue
439,238.0,14,2024-06-01,6,3226.36,enviado
440,260.0,14,2024-12-06,10,3593.61,entregue
441,368.0,18,2025-01-29,2,1886.48,entregue
442,209.0,18,2024-11-05,7,3851.79,processando
443,345.0,15,2025-06-30,10,3006.49,entregue
444,347.0,13,2024-07-21,1,3431.27,entregue
445,295.0,11,2024-10-06,1,3202.28,entregue
446,222.0,25,2025-08-13,8,596.83,enviado
447,4.0,27,2025-05-21,6,3076.49,entregue
448,299.0,22,2024-02-28,9,1060.48,entregue
449,380.0,29,2024-07-19,5,3248.15,entregue
450,161.0,20,2025-01-07,5,3946.28,entregue
451,211.0,10,2024-10-03,2,3687.39,processando
452,75.0,17,2025-01-03,7,3879.7,entregue
453,,10,2025-10-17,10,2128.15,entregue
454,259.0,26,2024-09-11,2,2160.47,enviado
455,356.0,2,2024-04-05,6,3991.03,processando
456,215.0,15,2025-09-15,4,3009.99,entregue
457,260.0,12,2024-06-09,2,432.94,entregue
458,242.0,13,2025-01-25,6,2276.85,entregue
459,48.0,2,2026-04-28,6,2191.76,entregue
460,349.0,4,2025-01-24,4,3463.42,entregue
461,240.0,7,2026-03-08,8,1488.96,enviado
462,286.0,3,2024-05-24,4,3177.62,processando
463,317.0,17,2025-05-23,9,3979.73,entregue
464,144.0,13,2025-06-24,2,2561.47,processando
465,328.0,12,2024-06-19,10,1906.31,enviado
466,96.0,4,2025-05-29,5,2252.99,processando
467,305.0,18,2024-06-28,4,300.98,entregue
468,358.0,13,2024-11-10,4,3046.36,entregue
469,111.0,19,2024-11-14,10,1835.41,entregue
470,81.0,10,2026-04-28,1,2618.11,entregue
471,192.0,14,2025-11-09,5,3081.08,entregue
472,108.0,2,2024-07-17,8,3537.43,processando
473,333.0,5,2024-02-23,3,2443.96,processando
474,274.0,6,2024-08-27,7,890.44,cancelado
475,186.0,13,2024-02-18,5,2845.28,enviado
476,398.0,25,2025-08-02,2,1533.85,enviado
477,14.0,12,2024-05-19,3,692.0,processando
478,295.0,31,2024-10-30,8,2837.02,entregue
479,165.0,16,2024-06-10,7,2464.31,enviado
480,296.0,21,2024-02-27,9,198.78,entregue
481,48.0,9,2024-03-20,6,-3635.54,cancelado
482,206.0,26,2024-05-19,10,1556.67,entregue
483,272.0,20,2024-02-18,10,3133.07,processando
484,24.0,27,2025-10-03,9,3572.74,cancelado
485,165.0,32,2024-01-15,5,3897.98,enviado
486,292.0,11,2026-01-16,5,793.39,entregue
487,358.0,12,2024-05-20,1,3748.25,cancelado
488,195.0,11,2024-03-25,3,3877.42,entregue
489,76.0,4,2024-12-20,2,2146.73,entregue
490,198.0,27,2025-01-01,5,3293.15,cancelado
491,74.0,10,2024-07-20,6,3168.05,entregue
492,259.0,11,2024-08-29,5,130.01,enviado
493,193.0,29,2025-10-20,5,1229.22,enviado
494,64.0,10,2025-08-22,3,-1509.76,entregue
495,122.0,8,2025-03-30,9,1135.46,entregue
496,260.0,7,2024-08-22,7,3449.38,entregue
497,175.0,18,2025-06-26,8,3933.5,enviado
498,178.0,18,2025-03-23,6,2946.56,entregue
499,278.0,24,2025-04-16,9,344.65,enviado
500,42.0,26,2024-12-18,10,1902.58,entregue
501,277.0,26,2026-02-12,4,-1206.35,entregue
502,118.0,12,2024-05-10,1,3332.38,entregue
503,284.0,16,2026-02-18,1,1338.8,processando
504,221.0,27,2025-12-27,8,233.19,entregue
505,88.0,19,2025-06-30,8,3761.68,cancelado
506,210.0,23,2026-03-15,4,156.86,entregue
507,183.0,9,2026-04-20,5,2261.7,processando
508,22.0,4,2025-02-11,3,2685.22,entregue
509,221.0,16,2024-09-02,7,680.38,processando
510,286.0,6,2026-03-20,1,2035.08,entregue
511,215.0,30,2026-03-22,5,1866.82,entregue
512,347.0,18,2024-04-13,6,324.8,enviado
513,250.0,18,2025-09-06,3,2017.63,entregue
514,95.0,29,2025-04-15,2,3801.81,entregue
515,233.0,8,2026-04-26,6,2076.63,entregue
516,174.0,24,2024-08-30,2,2199.48,entregue
517,10.0,23,2024-09-22,5,938.66,cancelado
518,308.0,12,2025-12-14,1,1031.56, PROCESSANDO 
519,43.0,2,2026-03-28,1,-3328.91,enviado
520,337.0,13,2026-01-31,5,1648.22,processando
521,0.0,9,2024-03-13,1,1607.29,enviado
522,279.0,8,2025-08-19,9,1905.14,entregue
523,295.0,14,2025-01-27,9,2329.17,entregue
524,159.0,17,2025-04-18,7,2683.24,entregue
525,278.0,24,2025-04-11,6,2515.57,entregue
526,361.0,29,2024-09-09,7,1525.73,enviado
527,69.0,26,2024-10-22,9,1499.6,entregue
528,82.0,16,2025-09-11,9,159.3,entregue
529,190.0,8,2025-07-01,2,2694.46,processando
530,396.0,17,2024-02-01,10,450.35,cancelado
531,307.0,5,2025-01-03,3,1660.56,entregue
532,323.0,6,2024-12-21,1,3750.0,entregue
533,361.0,18,2025-12-14,9,3698.55,enviado
534,319.0,1,2024-12-10,9,-2386.81,entregue
535,284.0,26,2024-07-31,1,3532.45,entregue
536,208.0,24,2025-01-27,8,2128.37,entregue
537,33.0,3,2024-08-15,4,3465.28,entregue
538,174.0,3,2026-03-16,4,2174.08,entregue
539,178.0,28,2025-06-05,-7,2899.86,enviado
